review,rating,date,bank,source,sentiment_label,sentiment_score
Why stacked sometimes,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,negative,0.9941052198410034
okay 👍 but sometimes busy,1,2025-05-03,Commercial Bank of Ethiopia,Google Play,negative,0.8515537977218628
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,Commercial Bank of Ethiopia,Google Play,negative,0.9997990727424622
Very good app. but disappointed by general cessation of system.,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,negative,0.998118817806244
Good and fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.9998561143875122
Unreliable!,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,negative,0.9997379183769226
Best the best fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.9998427629470824
happy,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.99987530708313
fast and reliable,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.9998595714569092
network errorrrrrr,2,2025-05-02,Commercial Bank of Ethiopia,Google Play,negative,0.9978076815605164
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,Commercial Bank of Ethiopia,Google Play,negative,0.9982808828353882
its good and simple to use,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.9998610019683838
worest app like that bank for security and network access,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,negative,0.9927296042442322
it's the best app i,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.999834418296814
not bad not good,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,negative,0.9715348482131958
its very nice,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.9998526573181152
do not work this week,3,2025-04-30,Commercial Bank of Ethiopia,Google Play,negative,0.99776029586792
It crashes frequently,4,2025-04-30,Commercial Bank of Ethiopia,Google Play,negative,0.9993256330490112
the best,5,2025-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.9998332262039183
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.8382583260536194
goid,5,2025-04-28,Commercial Bank of Ethiopia,Google Play,negative,0.7086982727050781
best appearance,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,positive,0.9996986389160156
it's very good 👍 app,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,positive,0.999859094619751
I need support you,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,negative,0.9881442785263062
the worst Mobile banking i have ever seen in my life,1,2025-04-26,Commercial Bank of Ethiopia,Google Play,negative,0.9997807145118712
super,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,positive,0.998783528804779
ጠጀጨገጀ።ጀገ,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,negative,0.8337253928184509
i like the app,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,positive,0.9994398951530457
the Best,1,2025-04-26,Commercial Bank of Ethiopia,Google Play,positive,0.9998332262039183
to other bank is bad,1,2025-04-25,Commercial Bank of Ethiopia,Google Play,negative,0.9997149109840392
tank's,5,2025-04-25,Commercial Bank of Ethiopia,Google Play,negative,0.9855977892875672
its good but add more features such like. bank statement showing,5,2025-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.9881664514541626
it is so nice,5,2025-04-24,Commercial Bank of Ethiopia,Google Play,positive,0.9998714923858644
Very Good👍,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.8243634104728699
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,Commercial Bank of Ethiopia,Google Play,negative,0.9995972514152528
"wow, amazing app",5,2025-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.9998503923416138
use ful,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,negative,0.9949980974197388
Great app,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,positive,0.999821126461029
well app,5,2025-04-20,Commercial Bank of Ethiopia,Google Play,positive,0.9993765950202942
Actually it is inactive,4,2025-04-19,Commercial Bank of Ethiopia,Google Play,negative,0.9996483325958252
"slow, only one account is used",2,2025-04-19,Commercial Bank of Ethiopia,Google Play,negative,0.9997527003288268
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.9975135326385498
i like it,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.99985933303833
why removing screenshot feature why?,1,2025-04-18,Commercial Bank of Ethiopia,Google Play,negative,0.9981147050857544
nice apps where network is good in connection,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.9994925260543824
Thank you!!!,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.9998666048049928
i can't take screenshot,1,2025-04-18,Commercial Bank of Ethiopia,Google Play,negative,0.9897894263267516
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,Commercial Bank of Ethiopia,Google Play,negative,0.9861215949058532
perfectly special,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.999879002571106
Fast and Reliable,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,positive,0.9998595714569092
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,Commercial Bank of Ethiopia,Google Play,positive,0.9997448325157166
great app!!!,5,2025-04-17,Commercial Bank of Ethiopia,Google Play,positive,0.9998501539230348
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,Commercial Bank of Ethiopia,Google Play,positive,0.9998784065246582
very nice app ever!!!,5,2025-04-16,Commercial Bank of Ethiopia,Google Play,positive,0.999826967716217
the best app,5,2025-04-16,Commercial Bank of Ethiopia,Google Play,positive,0.9998469352722168
Biometric security for mobile banking is not available,5,2025-04-16,Commercial Bank of Ethiopia,Google Play,negative,0.9996340274810792
Nice service,5,2025-04-15,Commercial Bank of Ethiopia,Google Play,positive,0.9998397827148438
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,Commercial Bank of Ethiopia,Google Play,negative,0.9985652565956116
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,Commercial Bank of Ethiopia,Google Play,negative,0.9647620320320128
Good 🔥,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,positive,0.9998576641082764
very interesting app i am using every day fantastic,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,positive,0.9998443126678468
lebaa bank,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,negative,0.9437295198440552
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,Commercial Bank of Ethiopia,Google Play,negative,0.9983273148536682
OK,5,2025-04-13,Commercial Bank of Ethiopia,Google Play,positive,0.9997851252555848
grateful app,5,2025-04-13,Commercial Bank of Ethiopia,Google Play,positive,0.9998038411140442
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,Commercial Bank of Ethiopia,Google Play,positive,0.9974650144577026
everthing wellbeok,3,2025-04-13,Commercial Bank of Ethiopia,Google Play,negative,0.7055781483650208
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,Commercial Bank of Ethiopia,Google Play,negative,0.9963226318359376
nice app 👌,5,2025-04-12,Commercial Bank of Ethiopia,Google Play,positive,0.9996724128723145
why did this app is not screenshot,5,2025-04-12,Commercial Bank of Ethiopia,Google Play,negative,0.9989493489265442
it so good app,5,2025-04-12,Commercial Bank of Ethiopia,Google Play,positive,0.999868631362915
جميل,5,2025-04-11,Commercial Bank of Ethiopia,Google Play,positive,0.9271727204322816
"less network, specially to make fee for utility purpose",1,2025-04-11,Commercial Bank of Ethiopia,Google Play,negative,0.994688868522644
simply for used,4,2025-04-11,Commercial Bank of Ethiopia,Google Play,negative,0.9918004870414734
wow keep up,5,2025-04-10,Commercial Bank of Ethiopia,Google Play,positive,0.9998539686203004
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,Commercial Bank of Ethiopia,Google Play,negative,0.9934490323066713
good one,5,2025-04-10,Commercial Bank of Ethiopia,Google Play,positive,0.9998288154602052
everything is easy thank you cebe,5,2025-04-10,Commercial Bank of Ethiopia,Google Play,positive,0.9998396635055542
ፈጣን ቀልጣፋ,5,2025-04-10,Commercial Bank of Ethiopia,Google Play,negative,0.7850593328475952
ጎበዝ,5,2025-04-09,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727
but this app says can't sync,5,2025-04-09,Commercial Bank of Ethiopia,Google Play,negative,0.9988365769386292
to slow,3,2025-04-09,Commercial Bank of Ethiopia,Google Play,negative,0.999487280845642
work on screen shot system,4,2025-04-08,Commercial Bank of Ethiopia,Google Play,negative,0.5902654528617859
very very nice aplication,1,2025-04-08,Commercial Bank of Ethiopia,Google Play,positive,0.9998292922973632
wonder full and it is easy to use,5,2025-04-08,Commercial Bank of Ethiopia,Google Play,positive,0.9996142387390136
easy and reliable,2,2025-04-08,Commercial Bank of Ethiopia,Google Play,positive,0.9998584985733032
it is Very Useful app 👍,5,2025-04-07,Commercial Bank of Ethiopia,Google Play,positive,0.994536280632019
perfect app,5,2025-04-07,Commercial Bank of Ethiopia,Google Play,positive,0.9998340606689452
I like it.,5,2025-04-07,Commercial Bank of Ethiopia,Google Play,positive,0.999869465827942
bugs,3,2025-04-07,Commercial Bank of Ethiopia,Google Play,negative,0.9988303780555724
commerial Bank,5,2025-04-06,Commercial Bank of Ethiopia,Google Play,negative,0.6810261607170105
Genat biru,2,2025-04-06,Commercial Bank of Ethiopia,Google Play,negative,0.966159999370575
🙏,5,2025-04-06,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727
it is good but it doesn't allow screen shot,4,2025-04-06,Commercial Bank of Ethiopia,Google Play,positive,0.6723130345344543
the best one,5,2025-04-06,Commercial Bank of Ethiopia,Google Play,positive,0.9998371601104736
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,Commercial Bank of Ethiopia,Google Play,negative,0.9967620372772216
bring back the screenshot feature.,1,2025-04-05,Commercial Bank of Ethiopia,Google Play,positive,0.9942916631698608
Good!👍,3,2025-04-05,Commercial Bank of Ethiopia,Google Play,positive,0.9998579025268556
best app to experience him that to smooth transaction among the customers,1,2025-04-05,Commercial Bank of Ethiopia,Google Play,positive,0.9985142350196838
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,Commercial Bank of Ethiopia,Google Play,negative,0.9551452398300172
easy to use,5,2025-04-05,Commercial Bank of Ethiopia,Google Play,positive,0.9988542795181274
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,Commercial Bank of Ethiopia,Google Play,positive,0.9998189806938172
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,Commercial Bank of Ethiopia,Google Play,negative,0.8819233775138855
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,Commercial Bank of Ethiopia,Google Play,negative,0.9973511695861816
cool ❤,4,2025-04-04,Commercial Bank of Ethiopia,Google Play,positive,0.9997991919517516
Best app,5,2025-04-04,Commercial Bank of Ethiopia,Google Play,positive,0.999686598777771
best banking App,4,2025-04-03,Commercial Bank of Ethiopia,Google Play,positive,0.999736487865448
satisfied,5,2025-04-03,Commercial Bank of Ethiopia,Google Play,positive,0.9997212290763856
this app is very necessary app many people found it,5,2025-04-03,Commercial Bank of Ethiopia,Google Play,positive,0.9980692267417908
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,Commercial Bank of Ethiopia,Google Play,positive,0.989459753036499
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,Commercial Bank of Ethiopia,Google Play,positive,0.9997400641441344
perfect,5,2025-04-03,Commercial Bank of Ethiopia,Google Play,positive,0.9998517036437988
thankyou,5,2025-04-02,Commercial Bank of Ethiopia,Google Play,positive,0.999842882156372
I Like it,5,2025-04-02,Commercial Bank of Ethiopia,Google Play,positive,0.99985933303833
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,Commercial Bank of Ethiopia,Google Play,negative,0.9986600875854492
smart app,5,2025-04-02,Commercial Bank of Ethiopia,Google Play,positive,0.999789297580719
isin ga'a,2,2025-04-02,Commercial Bank of Ethiopia,Google Play,positive,0.7607272863388062
it's great,5,2025-04-02,Commercial Bank of Ethiopia,Google Play,positive,0.9998691082000732
very good app and stars faction with work,5,2025-04-02,Commercial Bank of Ethiopia,Google Play,positive,0.999858856201172
It is excelent,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9998881816864014
Smart,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9998456239700316
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.9570208191871644
very interesting app,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9997968077659608
wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.998596966266632
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.9510266780853271
Excellent🙏app,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727
the most useful,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9997223019599916
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9787842631340028
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.9585953950881958
Excellent !!!,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.999865174293518
always we relay on,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9971832633018494
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.999750792980194
it's need more improvement like Tellbirr.,4,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.999363124370575
goode app,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9997406601905824
a very nice app.👍👍👍,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9998323917388916
safe easy & fast,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.999711573123932
it's good app,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9998689889907836
It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.9958590865135192
ጥሩ ነው,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.7850593328475952
እጅግ በጣም ጥሩ አፕ,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.8616328835487366
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.9528433680534364
suitable app,4,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9997665286064148
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.9995038509368896
best transaction method of financial,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9995972514152528
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9995881915092468
It literarily don't work at all,4,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.9995075464248656
good give us plus,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9998716115951538
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9895473718643188
before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-04-01,Commercial Bank of Ethiopia,Google Play,negative,0.9852171540260316
Tnc Cbe,5,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.9070307612419128
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,Commercial Bank of Ethiopia,Google Play,negative,0.915197730064392
great apps,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.999853491783142
Excellent,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.9998434782028198
Great app!,4,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.9998462200164796
CBE,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.9966009855270386
very good 👍 👏,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.99985933303833
great when it works,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.9998693466186525
"the app is very good, but why screenshots is impossible?",5,2025-03-31,Commercial Bank of Ethiopia,Google Play,negative,0.981265127658844
excellent match application,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.9998453855514526
The Best app😍😍😍,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.9998503923416138
excellent app,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.9998356103897096
easy to use and user friendly,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.9979179501533508
ምርጥ ነው,1,2025-07-10,Abissiniya Bank,Google Play,negative,0.7850593328475952
nice,5,2025-07-10,Abissiniya Bank,Google Play,positive,0.9998552799224854
Best app,5,2025-07-08,Abissiniya Bank,Google Play,positive,0.999686598777771
meku,5,2025-07-07,Abissiniya Bank,Google Play,positive,0.942174792289734
awasome app go a head,5,2025-07-04,Abissiniya Bank,Google Play,negative,0.998092234134674
😎,5,2025-07-03,Abissiniya Bank,Google Play,negative,0.6970565915107727
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,Abissiniya Bank,Google Play,negative,0.9994389414787292
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,Abissiniya Bank,Google Play,negative,0.9973018169403076
Smart app with smart bank,5,2025-07-02,Abissiniya Bank,Google Play,positive,0.998949944972992
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,Abissiniya Bank,Google Play,negative,0.9851245284080504
wow,5,2025-07-01,Abissiniya Bank,Google Play,positive,0.999592125415802
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,Abissiniya Bank,Google Play,negative,0.9996988773345948
amazing Banks App👌👌,3,2025-06-25,Abissiniya Bank,Google Play,positive,0.9998063445091248
goof,5,2025-06-25,Abissiniya Bank,Google Play,negative,0.9975278973579408
good App fore me,5,2025-06-25,Abissiniya Bank,Google Play,positive,0.9998444318771362
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,Abissiniya Bank,Google Play,negative,0.9995253086090088
fantastic,5,2025-06-22,Abissiniya Bank,Google Play,positive,0.9998743534088136
business main,5,2025-06-21,Abissiniya Bank,Google Play,positive,0.9951724410057068
👍,4,2025-06-21,Abissiniya Bank,Google Play,negative,0.6970565915107727
it's nice to use.,5,2025-06-21,Abissiniya Bank,Google Play,positive,0.999835729598999
app doesn't start,1,2025-06-21,Abissiniya Bank,Google Play,negative,0.9973676800727844
Excellent application,5,2025-06-18,Abissiniya Bank,Google Play,positive,0.9998571872711182
its very bad app its very slow,1,2025-06-17,Abissiniya Bank,Google Play,negative,0.9998086094856262
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,Abissiniya Bank,Google Play,negative,0.8337253928184509
good,1,2025-06-15,Abissiniya Bank,Google Play,positive,0.999816119670868
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa",1,2025-06-15,Abissiniya Bank,Google Play,negative,0.9994043111801147
Good job!,5,2025-06-13,Abissiniya Bank,Google Play,positive,0.9998481273651124
best financial app.,5,2025-06-12,Abissiniya Bank,Google Play,positive,0.9997761845588684
ቆንጆ ነው በርቱ,5,2025-06-11,Abissiniya Bank,Google Play,negative,0.8337253928184509
the worst app humans ever created,1,2025-06-09,Abissiniya Bank,Google Play,negative,0.9998008608818054
it's not working,3,2025-06-05,Abissiniya Bank,Google Play,negative,0.9997857213020324
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,Abissiniya Bank,Google Play,negative,0.999415159225464
exceptional,5,2025-06-03,Abissiniya Bank,Google Play,positive,0.9998514652252196
BoA Mobile good bank,5,2025-06-02,Abissiniya Bank,Google Play,positive,0.9984728693962096
this is worest app 24/7 loading,1,2025-06-01,Abissiniya Bank,Google Play,negative,0.993474304676056
BoA system is confartable,5,2025-06-01,Abissiniya Bank,Google Play,negative,0.9980142116546632
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,Abissiniya Bank,Google Play,negative,0.99980491399765
Good service.,3,2025-05-25,Abissiniya Bank,Google Play,positive,0.9998533725738524
the app crush frequently,1,2025-05-24,Abissiniya Bank,Google Play,negative,0.998525083065033
You guys keeps getting worst,1,2025-05-22,Abissiniya Bank,Google Play,negative,0.9997075200080872
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,Abissiniya Bank,Google Play,negative,0.999026656150818
BoA,2,2025-05-20,Abissiniya Bank,Google Play,negative,0.7410542964935303
but not opening on android,4,2025-05-19,Abissiniya Bank,Google Play,negative,0.9952228665351868
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,Abissiniya Bank,Google Play,negative,0.9997984766960144
amazing,5,2025-05-18,Abissiniya Bank,Google Play,positive,0.999875545501709
excellent app,4,2025-05-16,Abissiniya Bank,Google Play,positive,0.9998356103897096
excellent,5,2025-05-15,Abissiniya Bank,Google Play,positive,0.9998434782028198
ሞላዬ ከበደ,5,2025-05-14,Abissiniya Bank,Google Play,negative,0.7850593328475952
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,Abissiniya Bank,Google Play,negative,0.9992283582687378
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,Abissiniya Bank,Google Play,negative,0.9994921684265136
liking this application good 👍,5,2025-05-07,Abissiniya Bank,Google Play,positive,0.9996829032897948
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,Abissiniya Bank,Google Play,negative,0.9989790916442872
it's really good 👍,5,2025-04-23,Abissiniya Bank,Google Play,positive,0.9998701810836792
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,Abissiniya Bank,Google Play,negative,0.9995198249816896
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,Abissiniya Bank,Google Play,negative,0.9997255206108092
Best,2,2025-04-19,Abissiniya Bank,Google Play,positive,0.9997941851615906
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Abissiniya Bank,Google Play,negative,0.999669909477234
yideg,1,2025-04-18,Abissiniya Bank,Google Play,negative,0.7675801515579224
great boa,5,2025-04-10,Abissiniya Bank,Google Play,positive,0.9992689490318298
boa of mobile backing,5,2025-04-09,Abissiniya Bank,Google Play,negative,0.980626106262207
faster bank of Abissinya,5,2025-04-08,Abissiniya Bank,Google Play,positive,0.9722142815589904
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Abissiniya Bank,Google Play,negative,0.9996716976165771
it just doesn't work...so frustrating,1,2025-04-07,Abissiniya Bank,Google Play,negative,0.999774158000946
like,5,2025-04-06,Abissiniya Bank,Google Play,positive,0.9910564422607422
it's not work correctly... you must have update it,1,2025-04-06,Abissiniya Bank,Google Play,negative,0.9998013377189636
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Abissiniya Bank,Google Play,positive,0.957535207271576
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Abissiniya Bank,Google Play,negative,0.5856872200965881
good but they don't update enough don't add new things,3,2025-04-04,Abissiniya Bank,Google Play,negative,0.9693679809570312
very good,5,2025-04-03,Abissiniya Bank,Google Play,positive,0.9998520612716676
thank you,5,2025-04-02,Abissiniya Bank,Google Play,positive,0.9998352527618408
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,Abissiniya Bank,Google Play,negative,0.9990907907485962
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Abissiniya Bank,Google Play,negative,0.9973751306533812
good application,5,2025-03-30,Abissiniya Bank,Google Play,positive,0.999854564666748
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,Abissiniya Bank,Google Play,negative,0.9995684027671814
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Abissiniya Bank,Google Play,negative,0.9996182918548584
always problematic hardly works,1,2025-03-26,Abissiniya Bank,Google Play,negative,0.99955552816391
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Abissiniya Bank,Google Play,negative,0.9997418522834778
best app,5,2025-03-25,Abissiniya Bank,Google Play,positive,0.999686598777771
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,Abissiniya Bank,Google Play,negative,0.9998050332069396
great BoA,5,2025-03-22,Abissiniya Bank,Google Play,positive,0.9992689490318298
best,5,2025-03-21,Abissiniya Bank,Google Play,positive,0.9997941851615906
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Abissiniya Bank,Google Play,negative,0.9988333582878112
there is no speed,1,2025-03-19,Abissiniya Bank,Google Play,negative,0.9994422793388368
"For anyone who wants to download it, just don't!!!",1,2025-03-19,Abissiniya Bank,Google Play,negative,0.999398112297058
wonderful,5,2025-03-19,Abissiniya Bank,Google Play,positive,0.9998772144317628
all worck,5,2025-03-19,Abissiniya Bank,Google Play,negative,0.9971314668655396
Loved it,5,2025-03-14,Abissiniya Bank,Google Play,positive,0.9998797178268432
